"Ebene";"EDV-Code";"Code";"Titel";"Kurztitel"
4;"K6110";"K 61.10";"Leitungsgebundene, drahtlose und satellitengestützte Telekommunikation";""
3;"K612";"K 61.2";"Wiederverkaufs- und Vermittlungstätigkeiten für die Telekommunikation";""
4;"K6120";"K 61.20";"Wiederverkaufs- und Vermittlungstätigkeiten für die Telekommunikation";""
3;"K619";"K 61.9";"Sonstige Telekommunikation";""
4;"K6190";"K 61.90";"Sonstige Telekommunikation";""
2;"K62";"K 62";"Erbringung von Dienstleistungen der Informationstechnologie";""
3;"K621";"K 62.1";"Programmierungstätigkeiten";""
4;"K6210";"K 62.10";"Programmierungstätigkeiten";""
3;"K622";"K 62.2";"Erbringung von Dienstleistungen der IT-Beratung sowie des Betriebs von Datenverarbeitungseinrichtungen";""
4;"K6220";"K 62.20";"Erbringung von Dienstleistungen der IT-Beratung sowie des Betriebs von Datenverarbeitungseinrichtungen";""
3;"K629";"K 62.9";"Erbringung von sonstigen Dienstleistungen der Informationstechnologie";""
4;"K6290";"K 62.90";"Erbringung von sonstigen Dienstleistungen der Informationstechnologie";""
2;"K63";"K 63";"Datenverarbeitung, Hosting und Erbringung sonstiger Informationsdienstleistungen";""
3;"K631";"K 63.1";"Datenverarbeitung, Hosting und damit verbundene Tätigkeiten";""
4;"K6310";"K 63.10";"Datenverarbeitung, Hosting und damit verbundene Tätigkeiten";""
3;"K639";"K 63.9";"Web-Suchportale und Erbringung von sonstigen Informationsdienstleistungen";""
4;"K6391";"K 63.91";"Web-Suchportale";""
4;"K6392";"K 63.92";"Erbringung von sonstigen Informationsdienstleistungen";""
1;"L";"L";"ERBRINGUNG VON FINANZ- UND VERSICHERUNGSDIENSTLEISTUNGEN";""
2;"L64";"L 64";"Erbringung von Finanzdienstleistungen";""
3;"L641";"L 64.1";"Zentralbanken und Kreditinstitute";""
4;"L6411";"L 64.11";"Zentralbanken";""
4;"L6419";"L 64.19";"Kreditinstitute, ohne Spezialkreditinstitute";""
3;"L642";"L 64.2";"Beteiligungsgesellschaften und Finanzierungs-Conduits";""
4;"L6421";"L 64.21";"Beteiligungsgesellschaften";""
4;"L6422";"L 64.22";"Finanzierungs-Conduits";""
3;"L643";"L 64.3";"Treuhand- und sonstige Fonds u. Ä. Finanzinstitutionen";""
4;"L6431";"L 64.31";"Investmentfonds";""
4;"L6432";"L 64.32";"Treuhandfonds, Nachlass- und Treuhandkonten";""
3;"L649";"L 64.9";"Sonstige Finanzierungsinstitutionen";""
4;"L6491";"L 64.91";"Institutionen für Finanzierungsleasing";""
4;"L6492";"L 64.92";"Spezialkreditinstitute";""
4;"L6499";"L 64.99";"Sonstige Finanzdienstleistungen a. n. g.";""
2;"L65";"L 65";"Versicherungen, Rückversicherungen und Pensionskassen, ohne Sozialversicherung";""
3;"L651";"L 65.1";"Versicherungen";""
4;"L6511";"L 65.11";"Lebensversicherung";""
4;"L6512";"L 65.12";"Nichtlebensversicherungen";""
3;"L652";"L 65.2";"Rückversicherungen";""
4;"L6520";"L 65.20";"Rückversicherungen";""
3;"L653";"L 65.3";"Pensionskassen und Pensionsfonds";""
4;"L6530";"L 65.30";"Pensionskassen und Pensionsfonds";""
2;"L66";"L 66";"Mit Finanz- und Versicherungsdienstleistungen verbundene Tätigkeiten";""
3;"L661";"L 66.1";"Mit Finanzdienstleistungen verbundene Tätigkeiten";""
4;"L6611";"L 66.11";"Effekten- und Warenbörsen";""
4;"L6612";"L 66.12";"Effekten- und Warenhandel";""
4;"L6619";"L 66.19";"Sonstige mit Finanzdienstleistungen verbundene Tätigkeiten";""
3;"L662";"L 66.2";"Mit Versicherungsdienstleistungen und Pensionskassen verbundene Tätigkeiten";""
4;"L6621";"L 66.21";"Risiko- und Schadensbewertung";""
4;"L6622";"L 66.22";"Tätigkeiten der Versicherungsvermittlung";""
4;"L6629";"L 66.29";"Mit Versicherungsdienstleistungen und Pensionskassen verbundene Tätigkeiten a. n. g.";""
3;"L663";"L 66.3";"Fondsmanagement";""
4;"L6630";"L 66.30";"Fondsmanagement";""
1;"M";"M";"GRUNDSTÜCKS- UND WOHNUNGSWESEN";""
2;"M68";"M 68";"Grundstücks- und Wohnungswesen";""
3;"M681";"M 68.1";"Kauf und Verkauf von eigenen Grundstücken, Gebäuden und Wohnungen sowie Erschließung von Grundstücken";""
4;"M6811";"M 68.11";"Kauf und Verkauf von eigenen Grundstücken, Gebäuden und Wohnungen";""
4;"M6812";"M 68.12";"Erschließung von Grundstücken; Bauträger";""
3;"M682";"M 68.2";"Vermietung, Verpachtung von eigenen oder geleasten Grundstücken, Gebäuden und Wohnungen";""
4;"M6820";"M 68.20";"Vermietung, Verpachtung von eigenen oder geleasten Grundstücken, Gebäuden und Wohnungen";""
3;"M683";"M 68.3";"Vermittlung und Verwaltung von Grundstücken, Gebäuden und Wohnungen für Dritte";""
4;"M6831";"M 68.31";"Vermittlung von Grundstücken, Gebäuden und Wohnungen für Dritte";""
4;"M6832";"M 68.32";"Verwaltung von Grundstücken, Gebäuden und Wohnungen für Dritte";""
1;"N";"N";"ERBRINGUNG VON WISSENSCHAFTLICHEN UND TECHNISCHEN DIENSTLEISTUNGEN";""
2;"N69";"N 69";"Rechts- und Steuerberatung, Wirtschaftsprüfung";""
3;"N691";"N 69.1";"Rechtsberatung";""
4;"N6910";"N 69.10";"Rechtsberatung";""
3;"N692";"N 69.2";"Wirtschaftsprüfung und Steuerberatung; Buchführung";""
