"Ebene";"EDV-Code";"Code";"Titel";"Kurztitel"
5;"I56290";"I 56.29-0";"Erbringung sonstiger Verpflegungsdienstleistungen";"Sonst. Verpflegungsdienstleistungen"
3;"I563";"I 56.3";"Ausschank von Getränken";"Ausschank v. Getränken"
4;"I5630";"I 56.30";"Ausschank von Getränken";"Ausschank v. Getränken"
5;"I56301";"I 56.30-1";"Bars und Diskotheken";"Bars und Diskotheken"
5;"I56309";"I 56.30-9";"Sonstiger Ausschank von Getränken";"Sonst. Ausschank v. Getränken"
1;"J";"J";"INFORMATION UND KOMMUNIKATION";"Information und Kommunikation"
2;"J58";"J 58";"Verlagswesen";"Verlagswesen"
3;"J581";"J 58.1";"Verlegen von Büchern und Zeitschriften; sonstiges Verlagswesen (ohne Software)";"Verlagswesen (ohne Software)"
4;"J5811";"J 58.11";"Verlegen von Büchern";"Verlegen v. Büchern"
5;"J58110";"J 58.11-0";"Verlegen von Büchern";"Verlegen v. Büchern"
4;"J5812";"J 58.12";"Verlegen von Adressbüchern und Verzeichnissen";"Verlegen v. Adressbüchern"
5;"J58120";"J 58.12-0";"Verlegen von Adressbüchern und Verzeichnissen";"Verlegen v. Adressbüchern"
4;"J5813";"J 58.13";"Verlegen von Zeitungen";"Verlegen v. Zeitungen"
5;"J58130";"J 58.13-0";"Verlegen von Zeitungen";"Verlegen v. Zeitungen"
4;"J5814";"J 58.14";"Verlegen von Zeitschriften";"Verlegen v. Zeitschriften"
5;"J58140";"J 58.14-0";"Verlegen von Zeitschriften";"Verlegen v. Zeitschriften"
4;"J5819";"J 58.19";"Sonstiges Verlagswesen (ohne Software)";"Sonst. Verlagswesen (ohne Software)"
5;"J58190";"J 58.19-0";"Sonstiges Verlagswesen (ohne Software)";"Sonst. Verlagswesen (ohne Software)"
3;"J582";"J 58.2";"Verlegen von Software";"Verlegen von Software"
4;"J5821";"J 58.21";"Verlegen von Computerspielen";"Verlegen v. Computerspielen"
5;"J58210";"J 58.21-0";"Verlegen von Computerspielen";"Verlegen v. Computerspielen"
4;"J5829";"J 58.29";"Verlegen von sonstiger Software";"Verlegen v. sonst. Software"
5;"J58290";"J 58.29-0";"Verlegen von sonstiger Software";"Verlegen v. sonst. Software"
